codice,nome,durata,episodi,protagonista,categoria,data
F090,The Handmaids Tale,50.0,56,Elisabeth Moss,Drammatico,2017-04-26
F091,The Truman Show,103.0,0,Jim Carrey,Commedia,1998-06-05
F092,Arrow,42.0,170,Stephen Amell,Azione,2012-10-10
F093,Soul,100.0,0,Jamie Foxx,Animazione,2020-12-25
F094,Supernatural,42.0,327,Jared Padalecki,Fantasy,2005-09-13
F095,Alien,117.0,0,Sigourney Weaver,Horror,1979-05-25
F096,The Flash,42.0,184,Grant Gustin,Fantascienza,2014-10-07
F097,Rocky,120.0,0,Sylvester Stallone,Drammatico,1976-11-21
F098,Rick and Morty,22.0,71,Justin Roiland,Animazione,2013-12-02
F099,The Godfather Part II,202.0,0,Al Pacino,Crime,1974-12-20
F100,Bridgerton,60.0,24,Phoebe Dynevor,Romantico,2020-12-25
F0202,Pippo,169.0,1,Matthew McConaughey,Fantascienza,2014
F0202,Pippo,169.0,1,Matthew McConaughey,Fantascienza,2014
F0202,Pippo,169.0,1,Matthew McConaughey,Fantascienza,2014
F0202,Pippo,169.0,1,Matthew McConaughey,Fantascienza,2014
F0202,Pippo,169.0,1,Matthew McConaughey,Fantascienza,2014
F0202,Pippo,169.0,1,Matthew McConaughey,Fantascienza,2014
F0202,Pippo,169.0,1,Matthew McConaughey,Fantascienza,2014
F0202,Pippo,169.0,1,Matthew McConaughey,Fantascienza,2014
F0202,Pippo,169.0,1,Matthew McConaughey,Fantascienza,2014
